away_era,away_whip,home_era,home_whip,away_ops,home_ops,home_adv,y
4.15,1.24,4.92,1.73,0.851,0.887,1.0,0
6.04,1.18,3.79,1.21,0.759,0.704,1.0,0
5.3,1.49,4.75,1.51,0.744,0.824,1.0,0
5.09,1.53,7.2,1.93,0.736,0.881,1.0,0
5.42,1.71,5.53,1.43,0.812,0.768,1.0,1
4.03,1.49,6.19,1.67,0.767,0.727,1.0,0
4.9,1.39,2.84,1.32,0.901,0.827,1.0,0
4.25,1.25,6.79,1.56,0.74,0.769,1.0,0
3.2,1.24,5.28,1.33,0.783,0.835,1.0,1
4.19,1.5,6.47,1.81,0.901,0.827,1.0,0
4.79,1.46,4.17,1.27,0.759,0.704,1.0,0
2.55,1.36,3.0,1.0,0.812,0.768,1.0,0
6.23,1.72,5.58,1.6,0.814,0.796,1.0,0
4.07,1.46,6.33,1.7,0.767,0.727,1.0,0
8.1,1.95,5.25,1.44,0.814,0.796,1.0,1
6.52,1.66,4.6,1.53,0.744,0.824,1.0,0
3.83,1.32,4.0,1.33,0.74,0.769,1.0,1
6.0,2.0,5.6,1.51,0.736,0.881,1.0,0
4.83,1.67,6.35,1.61,0.851,0.887,1.0,0
5.86,1.64,4.23,1.3,0.851,0.887,1.0,0
5.62,1.43,3.49,1.24,0.887,0.736,1.0,0
7.2,1.77,4.98,1.25,0.704,0.744,1.0,1
2.29,1.13,4.87,1.31,0.783,0.74,1.0,0
6.39,1.55,5.94,1.43,0.835,0.796,1.0,0
9.22,1.83,5.85,1.38,0.851,0.759,1.0,1
2.89,1.35,8.19,1.92,0.769,0.814,1.0,0
2.2,1.06,3.32,1.14,0.74,0.769,1.0,0
8.48,1.84,6.75,1.35,0.881,0.901,1.0,1
4.4,1.33,4.0,1.24,0.851,0.759,1.0,1
3.57,1.3,5.61,1.66,0.812,0.768,1.0,0
6.15,1.63,3.78,1.32,0.824,0.827,1.0,1
3.34,1.31,5.3,1.25,0.783,0.74,1.0,0
4.76,1.3,4.55,1.35,0.768,0.767,1.0,0
5.1,1.47,12.08,1.97,0.901,0.827,1.0,0
5.16,1.61,2.8,1.22,0.887,0.736,1.0,1
9.64,2.14,5.4,1.4,0.881,0.901,1.0,1
5.48,1.54,5.54,1.56,0.835,0.796,1.0,0
9.0,2.33,4.04,1.48,0.727,0.812,1.0,1
4.37,1.31,4.82,1.61,0.704,0.744,1.0,1
5.61,1.44,5.42,1.71,0.727,0.812,1.0,1
5.56,1.54,3.57,1.24,0.768,0.767,1.0,1
2.19,1.05,4.57,1.36,0.824,0.827,1.0,1
4.95,1.39,4.9,1.39,0.881,0.901,1.0,1
5.28,1.33,4.73,1.39,0.835,0.796,1.0,1
5.13,1.44,2.04,1.08,0.769,0.814,1.0,1
5.13,1.44,6.25,1.61,0.769,0.814,1.0,0
4.19,1.5,3.34,1.08,0.901,0.736,1.0,0
6.19,1.67,3.97,1.07,0.727,0.783,1.0,1
5.53,1.43,4.63,1.12,0.768,0.767,1.0,1
2.43,1.19,4.25,1.42,0.704,0.744,1.0,0
6.79,1.8,7.39,1.89,0.887,0.736,1.0,1
6.47,1.81,4.79,1.46,0.827,0.759,1.0,1
3.79,1.21,5.27,1.55,0.704,0.824,1.0,1
3.95,1.18,9.42,2.16,0.783,0.74,1.0,0
5.3,1.49,4.83,1.67,0.744,0.851,1.0,1
6.89,1.94,2.84,1.32,0.824,0.827,1.0,1
4.15,1.24,6.18,1.53,0.851,0.759,1.0,1
4.92,1.73,5.6,1.51,0.887,0.881,1.0,1
4.89,1.4,2.2,1.06,0.767,0.74,1.0,1
5.58,1.6,3.0,1.0,0.796,0.768,1.0,1
2.55,1.36,6.23,1.72,0.812,0.814,1.0,0
6.79,1.56,5.81,1.49,0.769,0.835,1.0,1
6.33,1.7,3.2,1.24,0.727,0.783,1.0,1
